channel_id,timestamp,host_id,content_type,protocol,content_id,geo_location,user_id
8,2088-05-13 07:00:00,156,2,1,,1,13.0
8,2088-05-13 07:00:01,156,2,1,,802,13.0
2,2088-05-13 07:01:00,123,4,1,,556,7.0
8,2088-05-13 07:01:01,1,8,1,,1,1.0
8,2088-05-13 07:01:02,156,2,1,,1,13.0
1,2088-05-13 07:01:03,156,6,1,,884,46.0
8,2088-05-13 07:01:04,156,8,1,,1,0.0
8,2088-05-13 07:02:00,156,2,1,,1,13.0
8,2088-05-13 07:03:00,156,2,1,,1,13.0
8,2088-05-13 07:04:00,156,2,1,,1,13.0
8,2088-05-13 07:05:00,156,8,1,,266,0.0
8,2088-05-13 07:05:01,156,2,1,,1,13.0
8,2088-05-13 07:06:00,156,2,1,,1,13.0
8,2088-05-13 07:07:00,156,8,1,,1167,0.0
8,2088-05-13 07:07:01,156,8,1,,1167,0.0
8,2088-05-13 07:07:02,156,8,1,,1167,0.0
8,2088-05-13 07:07:03,156,8,1,,1167,0.0
8,2088-05-13 07:07:04,156,8,1,,882,0.0
8,2088-05-13 07:07:05,156,2,1,,1,13.0
8,2088-05-13 07:07:06,156,8,1,,1167,0.0
8,2088-05-13 07:07:07,156,8,1,,1167,0.0
8,2088-05-13 07:07:08,156,8,1,,1167,0.0
8,2088-05-13 07:07:09,156,8,1,,1167,0.0
8,2088-05-13 07:07:10,156,8,1,,1167,0.0
8,2088-05-13 07:07:11,156,8,1,,1167,0.0
8,2088-05-13 07:07:12,156,8,1,,1167,0.0
8,2088-05-13 07:07:13,156,8,1,,1167,0.0
8,2088-05-13 07:07:14,156,8,1,,1167,0.0
8,2088-05-13 07:07:15,156,8,1,,1167,0.0
8,2088-05-13 07:07:16,156,8,1,,1167,0.0
8,2088-05-13 07:07:17,156,8,1,,1167,0.0
8,2088-05-13 07:07:18,156,8,1,,1167,0.0
8,2088-05-13 07:07:19,156,8,1,,1167,0.0
8,2088-05-13 07:07:20,156,8,1,,1167,0.0
8,2088-05-13 07:07:21,156,8,1,,1167,0.0
1,2088-05-13 07:07:22,156,6,1,,1530,46.0
8,2088-05-13 07:07:23,156,8,1,,1167,0.0
8,2088-05-13 07:07:24,156,8,1,,1167,0.0
8,2088-05-13 07:07:25,156,8,1,,1167,0.0
8,2088-05-13 07:07:26,156,8,1,,1167,0.0
8,2088-05-13 07:07:27,156,8,1,,1167,0.0
8,2088-05-13 07:07:28,156,8,1,,1167,0.0
8,2088-05-13 07:08:00,156,2,1,,1,13.0
8,2088-05-13 07:08:01,156,8,1,,1303,0.0
8,2088-05-13 07:09:00,156,2,1,,1,13.0
8,2088-05-13 07:10:00,156,2,1,,1,13.0
8,2088-05-13 07:11:00,156,8,1,,0,0.0
8,2088-05-13 07:11:01,156,8,1,,1389,0.0
8,2088-05-13 07:11:02,156,2,1,,1,13.0
8,2088-05-13 07:12:00,156,2,1,,1,13.0
8,2088-05-13 07:13:00,156,2,1,,1,13.0
8,2088-05-13 07:14:00,156,2,1,,1,13.0
8,2088-05-13 07:15:00,156,8,1,,1135,0.0
8,2088-05-13 07:15:01,156,2,1,,1,13.0
8,2088-05-13 07:15:02,156,8,1,,0,0.0
8,2088-05-13 07:16:00,156,8,1,,684,0.0
8,2088-05-13 07:16:01,156,2,1,,1,13.0
8,2088-05-13 07:17:00,156,2,1,,1,13.0
8,2088-05-13 07:18:00,156,2,1,,1,13.0
8,2088-05-13 07:18:01,156,8,1,,1008,0.0
8,2088-05-13 07:19:00,156,2,1,,1,13.0
8,2088-05-13 07:20:00,156,8,1,,1008,0.0
8,2088-05-13 07:20:01,156,2,1,,1,13.0
8,2088-05-13 07:21:00,156,8,1,,1,0.0
8,2088-05-13 07:21:01,156,2,1,,1,13.0
8,2088-05-13 07:21:02,156,8,1,,712,0.0
8,2088-05-13 07:22:00,156,2,1,,1,13.0
8,2088-05-13 07:22:01,105,8,1,,1,1.0
8,2088-05-13 07:23:00,156,2,1,,1,13.0
8,2088-05-13 07:23:01,156,8,1,,1,0.0
8,2088-05-13 07:24:00,156,8,1,,1,0.0
2,2088-05-13 07:24:01,123,4,1,,1211,7.0
1,2088-05-13 07:24:02,156,6,1,,1586,54.0
1,2088-05-13 07:24:03,156,6,1,,1586,54.0
8,2088-05-13 07:24:04,156,2,1,,1,13.0
1,2088-05-13 07:24:05,156,6,1,,1586,54.0
2,2088-05-13 07:24:06,123,4,1,,1549,7.0
8,2088-05-13 07:24:07,156,8,1,,1,0.0
8,2088-05-13 07:25:00,156,2,1,,1,13.0
8,2088-05-13 07:26:00,156,2,1,,1,13.0
8,2088-05-13 07:26:01,156,8,1,,12,0.0
8,2088-05-13 07:26:02,156,2,1,,1,13.0
8,2088-05-13 07:27:00,156,2,1,,1,13.0
8,2088-05-13 07:27:01,156,2,1,,1,13.0
8,2088-05-13 07:27:02,156,2,1,,1,13.0
8,2088-05-13 07:27:03,156,8,1,,0,0.0
8,2088-05-13 07:28:00,156,2,1,,1,13.0
8,2088-05-13 07:28:01,156,2,1,,1,13.0
8,2088-05-13 07:29:00,156,2,1,,1,13.0
8,2088-05-13 07:29:01,156,2,1,,1,13.0
8,2088-05-13 07:30:00,156,2,1,,1,13.0
8,2088-05-13 07:31:00,156,2,1,,1,13.0
8,2088-05-13 07:31:01,156,2,1,,1,13.0
8,2088-05-13 07:32:00,156,2,1,,1,13.0
8,2088-05-13 07:32:01,156,2,1,,1,13.0
8,2088-05-13 07:32:02,156,2,1,,1,13.0
8,2088-05-13 07:33:00,156,2,1,,1,13.0
8,2088-05-13 07:34:00,156,2,1,,1,13.0
3,2088-05-13 07:34:01,76,8,1,,1,1.0
8,2088-05-13 07:34:02,156,8,1,,1,0.0
8,2088-05-13 07:34:03,156,8,1,,1,0.0
8,2088-05-13 07:34:04,156,8,1,,499,0.0
8,2088-05-13 07:36:00,156,8,1,,882,0.0
8,2088-05-13 07:36:01,156,8,1,,882,0.0
8,2088-05-13 07:36:02,156,2,1,,1,13.0
8,2088-05-13 07:36:03,156,8,1,,882,0.0
8,2088-05-13 07:36:04,156,8,1,,882,0.0
8,2088-05-13 07:36:05,156,8,1,,882,0.0
8,2088-05-13 07:36:06,156,8,1,,882,0.0
8,2088-05-13 07:36:07,156,8,1,,882,0.0
8,2088-05-13 07:36:08,156,8,1,,882,0.0
8,2088-05-13 07:36:09,156,8,1,,882,0.0
8,2088-05-13 07:36:10,156,8,1,,882,0.0
8,2088-05-13 07:36:11,156,8,1,,882,0.0
8,2088-05-13 07:36:12,156,8,1,,882,0.0
8,2088-05-13 07:36:13,156,8,1,,882,0.0
8,2088-05-13 07:36:14,156,8,1,,882,0.0
8,2088-05-13 07:36:15,156,8,1,,882,0.0
8,2088-05-13 07:36:16,156,8,1,,882,0.0
8,2088-05-13 07:36:17,156,8,1,,882,0.0
8,2088-05-13 07:36:18,156,8,1,,882,0.0
8,2088-05-13 07:37:00,156,2,1,,1,13.0
8,2088-05-13 07:37:01,156,2,1,,1,13.0
8,2088-05-13 07:37:02,156,2,1,,1,13.0
8,2088-05-13 07:38:00,156,2,1,,1,13.0
8,2088-05-13 07:38:01,156,8,1,,1185,0.0
8,2088-05-13 07:39:00,156,2,1,,1,13.0
8,2088-05-13 07:39:01,156,2,1,,1,13.0
8,2088-05-13 07:40:00,156,2,1,,1,13.0
2,2088-05-13 07:40:01,123,4,1,,1482,7.0
8,2088-05-13 07:40:02,156,2,1,,1,13.0
8,2088-05-13 07:40:03,156,2,1,,1,13.0
8,2088-05-13 07:41:00,156,2,1,,1,13.0
8,2088-05-13 07:41:01,156,2,1,,1,13.0
