timestamp,channel_id,host_id,content_type,protocol,content_id,geo_location,user_id
2088-05-13 07:00:14,0,156,2,1,,1,13.0
2088-05-13 07:00:38,0,156,2,1,,802,13.0
2088-05-13 07:01:07,2,123,4,1,,556,7.0
2088-05-13 07:01:11,0,156,2,1,,1,13.0
2088-05-13 07:01:16,0,1,8,1,,1,1.0
2088-05-13 07:01:26,0,156,8,1,,1,0.0
2088-05-13 07:01:38,1,156,6,1,,884,46.0
2088-05-13 07:02:07,0,156,2,1,,1,13.0
2088-05-13 07:03:10,0,156,2,1,,1,13.0
2088-05-13 07:04:08,0,156,2,1,,1,13.0
2088-05-13 07:05:10,0,156,2,1,,1,13.0
2088-05-13 07:05:30,0,156,8,1,,266,0.0
2088-05-13 07:06:07,0,156,2,1,,1,13.0
2088-05-13 07:07:02,0,156,8,1,,1167,0.0
2088-05-13 07:07:03,0,156,8,1,,1167,0.0
2088-05-13 07:07:04,0,156,8,1,,1167,0.0
2088-05-13 07:07:05,0,156,8,1,,1167,0.0
2088-05-13 07:07:06,0,156,8,1,,1167,0.0
2088-05-13 07:07:07,0,156,8,1,,1167,0.0
2088-05-13 07:07:08,0,156,8,1,,1167,0.0
2088-05-13 07:07:09,0,156,8,1,,1167,0.0
2088-05-13 07:07:10,0,156,8,1,,1167,0.0
2088-05-13 07:07:11,0,156,8,1,,1167,0.0
2088-05-13 07:07:12,0,156,8,1,,1167,0.0
2088-05-13 07:07:13,0,156,8,1,,1167,0.0
2088-05-13 07:07:14,0,156,8,1,,1167,0.0
2088-05-13 07:07:15,0,156,8,1,,1167,0.0
2088-05-13 07:07:16,0,156,8,1,,1167,0.0
2088-05-13 07:07:17,0,156,8,1,,1167,0.0
2088-05-13 07:07:18,0,156,8,1,,1167,0.0
2088-05-13 07:07:19,0,156,8,1,,1167,0.0
2088-05-13 07:07:20,0,156,8,1,,1167,0.0
2088-05-13 07:07:21,0,156,8,1,,1167,0.0
2088-05-13 07:07:22,0,156,8,1,,1167,0.0
2088-05-13 07:07:23,0,156,8,1,,1167,0.0
2088-05-13 07:07:24,0,156,8,1,,1167,0.0
2088-05-13 07:07:25,0,156,8,1,,1167,0.0
2088-05-13 07:07:26,0,156,8,1,,1167,0.0
2088-05-13 07:07:27,0,156,8,1,,1167,0.0
2088-05-13 07:07:28,0,156,2,1,,1,13.0
2088-05-13 07:07:29,1,156,6,1,,1530,46.0
2088-05-13 07:07:30,0,156,8,1,,882,0.0
2088-05-13 07:08:06,0,156,2,1,,1,13.0
2088-05-13 07:08:07,0,156,8,1,,1303,0.0
2088-05-13 07:09:10,0,156,2,1,,1,13.0
2088-05-13 07:10:06,0,156,2,1,,1,13.0
2088-05-13 07:11:05,0,156,8,1,,0,0.0
2088-05-13 07:11:06,0,156,2,1,,1,13.0
2088-05-13 07:11:33,0,156,8,1,,1389,0.0
2088-05-13 07:12:09,0,156,2,1,,1,13.0
2088-05-13 07:13:07,0,156,2,1,,1,13.0
2088-05-13 07:14:04,0,156,2,1,,1,13.0
2088-05-13 07:15:09,0,156,2,1,,1,13.0
2088-05-13 07:15:25,0,156,8,1,,1135,0.0
2088-05-13 07:15:52,0,156,8,1,,0,0.0
2088-05-13 07:16:10,0,156,2,1,,1,13.0
2088-05-13 07:16:19,0,156,8,1,,684,0.0
2088-05-13 07:17:04,0,156,2,1,,1,13.0
2088-05-13 07:18:11,0,156,2,1,,1,13.0
2088-05-13 07:18:51,0,156,8,1,,1008,0.0
2088-05-13 07:19:06,0,156,2,1,,1,13.0
2088-05-13 07:20:03,0,156,8,1,,1008,0.0
2088-05-13 07:20:04,0,156,2,1,,1,13.0
2088-05-13 07:21:05,0,156,2,1,,1,13.0
2088-05-13 07:21:19,0,156,8,1,,1,0.0
2088-05-13 07:21:34,0,156,8,1,,712,0.0
2088-05-13 07:22:10,0,156,2,1,,1,13.0
2088-05-13 07:22:47,0,105,8,1,,1,1.0
2088-05-13 07:23:10,0,156,2,1,,1,13.0
2088-05-13 07:23:25,0,156,8,1,,1,0.0
2088-05-13 07:24:05,0,156,8,1,,1,0.0
2088-05-13 07:24:10,0,156,2,1,,1,13.0
2088-05-13 07:24:11,1,156,6,1,,1586,54.0
2088-05-13 07:24:12,1,156,6,1,,1586,54.0
2088-05-13 07:24:13,1,156,6,1,,1586,54.0
2088-05-13 07:24:25,0,156,8,1,,1,0.0
2088-05-13 07:24:27,2,123,4,1,,1211,7.0
2088-05-13 07:24:52,2,123,4,1,,1549,7.0
2088-05-13 07:25:06,0,156,2,1,,1,13.0
2088-05-13 07:26:02,0,156,2,1,,1,13.0
2088-05-13 07:26:08,0,156,2,1,,1,13.0
2088-05-13 07:26:37,0,156,8,1,,12,0.0
2088-05-13 07:27:05,0,156,2,1,,1,13.0
2088-05-13 07:27:07,0,156,2,1,,1,13.0
2088-05-13 07:27:23,0,156,8,1,,0,0.0
2088-05-13 07:27:59,0,156,2,1,,1,13.0
2088-05-13 07:28:10,0,156,2,1,,1,13.0
2088-05-13 07:28:57,0,156,2,1,,1,13.0
2088-05-13 07:29:10,0,156,2,1,,1,13.0
2088-05-13 07:29:55,0,156,2,1,,1,13.0
2088-05-13 07:30:11,0,156,2,1,,1,13.0
2088-05-13 07:31:00,0,156,2,1,,1,13.0
2088-05-13 07:31:06,0,156,2,1,,1,13.0
2088-05-13 07:32:01,0,156,2,1,,1,13.0
2088-05-13 07:32:04,0,156,2,1,,1,13.0
2088-05-13 07:32:59,0,156,2,1,,1,13.0
2088-05-13 07:33:57,0,156,2,1,,1,13.0
2088-05-13 07:34:14,0,156,8,1,,1,0.0
2088-05-13 07:34:17,3,76,8,1,,1,1.0
2088-05-13 07:34:38,0,156,8,1,,499,0.0
2088-05-13 07:34:43,0,156,8,1,,1,0.0
2088-05-13 07:34:59,0,156,2,1,,1,13.0
2088-05-13 07:36:01,0,156,2,1,,1,13.0
2088-05-13 07:36:56,0,156,8,1,,882,0.0
2088-05-13 07:36:57,0,156,8,1,,882,0.0
2088-05-13 07:36:58,0,156,8,1,,882,0.0
2088-05-13 07:36:59,0,156,8,1,,882,0.0
2088-05-13 07:37:00,0,156,8,1,,882,0.0
2088-05-13 07:37:01,0,156,8,1,,882,0.0
2088-05-13 07:37:02,0,156,8,1,,882,0.0
2088-05-13 07:37:03,0,156,8,1,,882,0.0
2088-05-13 07:37:04,0,156,8,1,,882,0.0
2088-05-13 07:37:05,0,156,8,1,,882,0.0
2088-05-13 07:37:06,0,156,8,1,,882,0.0
2088-05-13 07:37:07,0,156,8,1,,882,0.0
2088-05-13 07:37:08,0,156,8,1,,882,0.0
2088-05-13 07:37:09,0,156,8,1,,882,0.0
2088-05-13 07:37:10,0,156,8,1,,882,0.0
2088-05-13 07:37:11,0,156,8,1,,882,0.0
2088-05-13 07:37:12,0,156,8,1,,882,0.0
2088-05-13 07:37:13,0,156,8,1,,882,0.0
2088-05-13 07:37:14,0,156,2,1,,1,13.0
2088-05-13 07:37:33,0,156,2,1,,1,13.0
2088-05-13 07:37:58,0,156,2,1,,1,13.0
2088-05-13 07:38:27,0,156,2,1,,1,13.0
2088-05-13 07:38:35,0,156,8,1,,1185,0.0
2088-05-13 07:39:02,0,156,2,1,,1,13.0
2088-05-13 07:39:29,0,156,2,1,,1,13.0
2088-05-13 07:40:01,0,156,2,1,,1,13.0
2088-05-13 07:40:15,2,123,4,1,,1482,7.0
2088-05-13 07:40:27,0,156,2,1,,1,13.0
2088-05-13 07:40:56,0,156,2,1,,1,13.0
2088-05-13 07:41:29,0,156,2,1,,1,13.0
